Date,Temperature,Type
1949-01-01,16.254764705882355,Historical
1949-02-01,17.39714705882353,Historical
1949-03-01,22.091941176470588,Historical
1949-04-01,25.015470588235296,Historical
1949-05-01,27.195500000000003,Historical
1949-06-01,27.06408823529412,Historical
1949-07-01,25.632323529411764,Historical
1949-08-01,25.364323529411767,Historical
1949-09-01,25.064735294117646,Historical
1949-10-01,23.27338235294118,Historical
1949-11-01,18.68279411764706,Historical
1949-12-01,15.33785294117647,Historical
1950-01-01,15.863882352941175,Historical
1950-02-01,16.612529411764708,Historical
1950-03-01,20.89029411764706,Historical
1950-04-01,24.65773529411765,Historical
1950-05-01,27.60844117647059,Historical
1950-06-01,27.232794117647057,Historical
1950-07-01,25.527529411764707,Historical
1950-08-01,25.082,Historical
1950-09-01,24.522676470588234,Historical
1950-10-01,22.579235294117645,Historical
1950-11-01,18.85876470588235,Historical
1950-12-01,15.51735294117647,Historical
1951-01-01,15.041117647058824,Historical
1951-02-01,17.651588235294117,Historical
1951-03-01,21.810323529411765,Historical
1951-04-01,23.894235294117646,Historical
1951-05-01,27.13429411764706,Historical
1951-06-01,27.058,Historical
1951-07-01,26.06705882352941,Historical
1951-08-01,25.660235294117648,Historical
1951-09-01,25.441411764705883,Historical
1951-10-01,24.34535294117647,Historical
1951-11-01,20.272970588235296,Historical
1951-12-01,16.561117647058822,Historical
1952-01-01,16.26991176470588,Historical
1952-02-01,18.98735294117647,Historical
1952-03-01,21.16423529411765,Historical
1952-04-01,25.666352941176473,Historical
1952-05-01,27.54755882352941,Historical
1952-06-01,27.24111764705882,Historical
1952-07-01,25.84020588235294,Historical
1952-08-01,25.186176470588236,Historical
1952-09-01,25.105558823529414,Historical
1952-10-01,23.3005,Historical
1952-11-01,19.465911764705883,Historical
1952-12-01,16.549823529411764,Historical
1953-01-01,15.238500000000002,Historical
1953-02-01,18.853941176470588,Historical
1953-03-01,23.568088235294116,Historical
1953-04-01,25.568029411764705,Historical
1953-05-01,27.882235294117645,Historical
1953-06-01,27.638,Historical
1953-07-01,25.696823529411766,Historical
1953-08-01,25.436823529411765,Historical
1953-09-01,24.90114705882353,Historical
1953-10-01,22.989970588235295,Historical
1953-11-01,19.457205882352945,Historical
1953-12-01,17.308117647058822,Historical
1954-01-01,15.02344117647059,Historical
1954-02-01,18.862588235294115,Historical
1954-03-01,22.171323529411765,Historical
1954-04-01,25.947058823529414,Historical
1954-05-01,28.076382352941177,Historical
1954-06-01,27.193941176470588,Historical
1954-07-01,25.71614705882353,Historical
1954-08-01,25.52679411764706,Historical
1954-09-01,24.902588235294118,Historical
1954-10-01,21.921999999999997,Historical
1954-11-01,18.926676470588237,Historical
1954-12-01,16.20155882352941,Historical
1955-01-01,15.612029411764706,Historical
1955-02-01,18.135088235294116,Historical
1955-03-01,22.752264705882354,Historical
1955-04-01,24.249970588235296,Historical
1955-05-01,26.866176470588236,Historical
1955-06-01,27.13305882352941,Historical
1955-07-01,25.72579411764706,Historical
1955-08-01,24.96729411764706,Historical
1955-09-01,24.90129411764706,Historical
1955-10-01,22.749676470588238,Historical
1955-11-01,19.14044117647059,Historical
1955-12-01,15.901617647058822,Historical
1956-01-01,15.460382352941178,Historical
1956-02-01,17.62770588235294,Historical
1956-03-01,22.181529411764707,Historical
1956-04-01,25.78979411764706,Historical
1956-05-01,27.758000000000003,Historical
1956-06-01,26.40276470588235,Historical
1956-07-01,25.052411764705884,Historical
1956-08-01,24.998970588235295,Historical
1956-09-01,24.890500000000003,Historical
1956-10-01,22.455411764705882,Historical
1956-11-01,19.22244117647059,Historical
1956-12-01,16.27314705882353,Historical
1957-01-01,15.550117647058826,Historical
1957-02-01,16.861500000000003,Historical
1957-03-01,20.76638235294118,Historical
1957-04-01,24.71814705882353,Historical
1957-05-01,27.06435294117647,Historical
1957-06-01,27.315029411764705,Historical
1957-07-01,26.01194117647059,Historical
1957-08-01,25.50408823529412,Historical
1957-09-01,24.990117647058824,Historical
1957-10-01,23.04741176470588,Historical
1957-11-01,19.984352941176468,Historical
1957-12-01,16.814176470588237,Historical
1958-01-01,16.788235294117644,Historical
1958-02-01,17.917735294117648,Historical
1958-03-01,22.488705882352942,Historical
1958-04-01,26.26773529411765,Historical
1958-05-01,27.65670588235294,Historical
1958-06-01,28.370382352941174,Historical
1958-07-01,26.057529411764705,Historical
1958-08-01,25.405470588235296,Historical
1958-09-01,25.02461764705882,Historical
1958-10-01,23.29,Historical
1958-11-01,20.027,Historical
1958-12-01,16.84429411764706,Historical
1959-01-01,15.99894117647059,Historical
1959-02-01,17.41485294117647,Historical
1959-03-01,22.194323529411765,Historical
1959-04-01,25.619470588235295,Historical
1959-05-01,27.403441176470587,Historical
1959-06-01,27.36,Historical
1959-07-01,25.641823529411766,Historical
1959-08-01,25.41158823529412,Historical
1959-09-01,24.822117647058825,Historical
1959-10-01,23.149852941176473,Historical
1959-11-01,19.515823529411765,Historical
1959-12-01,16.817882352941176,Historical
1960-01-01,15.491794117647059,Historical
1960-02-01,19.368764705882352,Historical
1960-03-01,21.198529411764707,Historical
1960-04-01,25.26214705882353,Historical
1960-05-01,27.711235294117646,Historical
1960-06-01,27.60876470588235,Historical
1960-07-01,25.829764705882354,Historical
1960-08-01,25.63420588235294,Historical
1960-09-01,25.190529411764704,Historical
1960-10-01,23.068264705882353,Historical
1960-11-01,19.280176470588238,Historical
1960-12-01,16.93235294117647,Historical
1961-01-01,16.165970588235297,Historical
1961-02-01,16.619911764705883,Historical
1961-03-01,22.337764705882353,Historical
1961-04-01,25.31535294117647,Historical
1961-05-01,27.28808823529412,Historical
1961-06-01,26.929558823529412,Historical
1961-07-01,25.66,Historical
1961-08-01,25.44994117647059,Historical
